,ID_SAEB,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,TX_RESP_Q052,TX_RESP_Q053,TX_RESP_Q054,TX_RESP_Q055,TX_RESP_Q056,TX_RESP_Q057,TX_RESP_Q058,TX_RESP_Q059,TX_RESP_Q060,TX_RESP_Q061,TX_RESP_Q062,TX_RESP_Q063,TX_RESP_Q064,TX_RESP_Q065,TX_RESP_Q066,TX_RESP_Q067,TX_RESP_Q068,TX_RESP_Q069,TX_RESP_Q070,TX_RESP_Q071,TX_RESP_Q072,TX_RESP_Q073,TX_RESP_Q074,TX_RESP_Q075,TX_RESP_Q076,TX_RESP_Q077,TX_RESP_Q078,TX_RESP_Q079,TX_RESP_Q080,TX_RESP_Q081,TX_RESP_Q082,TX_RESP_Q083,TX_RESP_Q084,TX_RESP_Q085,TX_RESP_Q086,TX_RESP_Q087,TX_RESP_Q088,TX_RESP_Q089,TX_RESP_Q090,TX_RESP_Q091,TX_RESP_Q092,TX_RESP_Q093,TX_RESP_Q094,TX_RESP_Q095,TX_RESP_Q096,TX_RESP_Q097,TX_RESP_Q098,TX_RESP_Q099,TX_RESP_Q100,TX_RESP_Q101,TX_RESP_Q102,TX_RESP_Q103,TX_RESP_Q104,TX_RESP_Q105,TX_RESP_Q106,TX_RESP_Q107,TX_RESP_Q108,TX_RESP_Q109,TX_RESP_Q110,TX_RESP_Q111,TX_RESP_Q112,TX_RESP_Q113,TX_RESP_Q114,TX_RESP_Q115,TX_RESP_Q116,TX_RESP_Q117,TX_RESP_Q118,TX_RESP_Q119,TX_RESP_Q120,TX_RESP_Q121,TX_RESP_Q122,TX_RESP_Q123,TX_RESP_Q124,TX_RESP_Q125,TX_RESP_Q126,TX_RESP_Q127,TX_RESP_Q128,TX_RESP_Q129,TX_RESP_Q130,TX_RESP_Q131,TX_RESP_Q132,TX_RESP_Q133,TX_RESP_Q134,TX_RESP_Q135,TX_RESP_Q136,TX_RESP_Q137,TX_RESP_Q138,TX_RESP_Q139,TX_RESP_Q140,TX_RESP_Q141,TX_RESP_Q142,TX_RESP_Q143,TX_RESP_Q144,TX_RESP_Q145,TX_RESP_Q146,TX_RESP_Q147,TX_RESP_Q148,TX_RESP_Q149,TX_RESP_Q150,TX_RESP_Q151,TX_RESP_Q152,TX_RESP_Q153,TX_RESP_Q154,TX_RESP_Q155,TX_RESP_Q156,TX_RESP_Q157,TX_RESP_Q158,TX_RESP_Q159,TX_RESP_Q160,TX_RESP_Q161,TX_RESP_Q162,TX_RESP_Q163,TX_RESP_Q164,TX_RESP_Q165,TX_RESP_Q166,TX_RESP_Q167,TX_RESP_Q168,TX_RESP_Q169,TX_RESP_Q170,TX_RESP_Q171,TX_RESP_Q172,TX_RESP_Q173,TX_RESP_Q174,TX_RESP_Q175,TX_RESP_Q176,TX_RESP_Q177,TX_RESP_Q178,TX_RESP_Q179,TX_RESP_Q180,TX_RESP_Q181,TX_RESP_Q182,TX_RESP_Q183,TX_RESP_Q184,TX_RESP_Q185,TX_RESP_Q186,TX_RESP_Q187,TX_RESP_Q188,TX_RESP_Q189,TX_RESP_Q190,TX_RESP_Q191,TX_RESP_Q192,TX_RESP_Q193,TX_RESP_Q194,TX_RESP_Q195,TX_RESP_Q196,TX_RESP_Q197,TX_RESP_Q198,TX_RESP_Q199,TX_RESP_Q200,TX_RESP_Q201,TX_RESP_Q202,TX_RESP_Q203,TX_RESP_Q204,TX_RESP_Q205,TX_RESP_Q206,TX_RESP_Q207,TX_RESP_Q208,TX_RESP_Q209,TX_RESP_Q210,TX_RESP_Q211,TX_RESP_Q212,TX_RESP_Q213,TX_RESP_Q214,TX_RESP_Q215,TX_RESP_Q216,TX_RESP_Q217,TX_RESP_Q218,TX_RESP_Q219,TX_RESP_Q220,TX_RESP_Q221,TX_RESP_Q222,TX_RESP_Q223,TX_RESP_Q224,TX_RESP_Q225,TX_RESP_Q226,TX_RESP_Q227,TX_RESP_Q228,TX_RESP_Q229,TX_RESP_Q230,TX_RESP_Q231,TX_RESP_Q232,TX_RESP_Q233,TX_RESP_Q234,TX_RESP_Q235,TX_RESP_Q236,TX_RESP_Q237,TX_RESP_Q238,TX_RESP_Q239,TX_RESP_Q240,TX_RESP_Q241,TX_RESP_Q242,TX_RESP_Q243,TX_RESP_Q244,TX_RESP_Q245,TX_RESP_Q246,TX_RESP_Q247,TX_RESP_Q248,TX_RESP_Q249,TX_RESP_Q250,TX_RESP_Q251,TX_RESP_Q252,TX_RESP_Q253
19997,2019,2,24,6312144,2,61277994,3,2,1,A,6.0,0.0,3.0,0.0,3.0,0.0,46.0,46.0,26.0,1.0,2.0,2.0,2.0,2.0,1.0,6.0,2.0,2.0,1.0,5.0,C,C,C,C,C,B,B,C,B,C,C,B,B,B,A,A,B,,,A,B,B,B,B,C,B,C,B,B,C,C,C,B,B,B,A,,,,,,,,,,,B,B,A,A,A,A,B,B,,,,B,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,,,,B,A,A,,,,,,,,,,B,,,,,,,,,,,,5.0,B,,B,C,B,B,B,A,A,A,B,A,B,A,A,A,A,D,D,A,B,A,A,B,B,A,A,A,A,A,B,B,B,B,A,A,,,,,,,,,A,B,B,B,B,B,B,B,A,B,B,B,B,A,B,B,B,B,A,A,A,B,B,B,C,C,C,C,A,A,D,B,A,B,B,B,B,B,A,B,B,B,B,B,B,B,A,B,B,B,B,B,A,B,B,B,B,B,B,A,A,A,B,B,A,B,B,,,,,,,,,,,D,D
19998,2019,2,24,6312144,2,61287919,2,2,1,C,4.0,,6.0,10.0,2.0,11.0,48.0,40.0,35.0,20.0,3.0,5.0,5.0,4.0,1.0,5.0,3.0,2.0,1.0,2.0,C,B,C,B,C,B,B,C,B,C,C,B,,,,A,,,,A,A,B,B,B,B,B,B,A,C,C,C,B,C,C,B,A,,,,,,,,,,,B,B,A,A,B,B,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,B,B,C,C,,,,,,,,,,A,4.0,1.0,,3.0,2.0,1.0,B,C,C,B,A,3.0,B,,A,C,B,A,B,A,A,B,B,A,B,B,B,A,A,A,D,B,C,B,A,B,B,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,A,A,B,B,B,B,B,A,B,B,B,E,C,C,A,E,D,D,A,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,A,B,,A,,,,,B,B,A,B,B,B,B,B,A,B,,,,,,,,,,,C,C
19999,2019,2,24,6312144,2,61303659,3,2,1,C,,,,,2.0,5.0,40.0,40.0,40.0,5.0,3.0,4.0,2.0,2.0,2.0,10.0,4.0,2.0,,4.0,C,C,C,D,D,C,D,D,C,C,C,C,B,B,A,B,B,,,A,A,B,B,A,C,C,C,B,C,C,C,B,B,B,B,A,,,,,,,,,,,A,A,A,A,A,A,A,A,,,,A,A,B,B,B,B,B,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,A,C,C,C,C,,,,,,,,,,A,6.0,1.0,2.0,2.0,1.0,1.0,C,D,B,C,A,,A,,A,,B,A,A,A,A,B,B,A,B,B,A,A,A,B,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,B,B,B,B,A,B,B,B,A,,A,A,A,A,B,B,B,A,A,A,A,B,B,B,D,D,E,D,D,D,E,A,B,B,B,B,B,B,A,B,A,B,B,B,B,A,B,B,A,A,B,A,A,A,A,A,A,B,B,A,B,B,A,B,B,A,B,,,,,,,,,,,C,C
20000,2019,2,24,6312144,2,61318260,2,1,1,B,13.0,8.0,6.0,2.0,2.0,7.0,,,8.0,0.0,2.0,25.0,,,10.0,20.0,,0.0,0.0,,C,B,C,A,C,B,C,C,B,C,C,B,B,B,B,B,A,,,A,A,A,A,B,A,C,C,A,C,C,C,B,B,A,A,B,A,A,A,B,B,A,B,B,B,7.0,B,A,A,A,B,B,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,B,C,C,A,,,,,,,,,,A,5.0,7.0,10.0,4.0,4.0,4.0,B,D,D,B,A,2.0,B,5.0,B,B,B,A,B,A,A,B,B,A,B,B,A,A,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,B,A,A,B,B,B,B,B,B,A,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,A,D,A,C,A,D,D,D,A,A,B,A,B,A,B,A,B,B,A,B,B,B,A,B,A,B,A,B,A,A,A,B,B,A,B,B,A,B,B,B,B,B,B,B,,,,,,,,,,,D,D
20001,2019,2,24,6312147,2,61294976,2,1,1,C,10.0,8.0,2.0,9.0,2.0,9.0,40.0,12.0,60.0,10.0,6.0,6.0,5.0,8.0,6.0,10.0,5.0,5.0,1.0,1.0,C,C,C,C,B,B,C,B,C,C,B,C,B,B,B,B,A,,,B,C,C,B,B,C,C,B,C,C,C,C,B,B,C,C,B,B,B,B,B,B,B,A,B,B,7.0,A,A,A,A,B,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,C,C,C,C,,,,,,,,,,A,7.0,4.0,2.0,2.0,3.0,,B,C,B,B,A,,A,2.0,B,C,B,A,B,A,B,B,B,A,B,B,B,A,A,C,D,B,C,C,B,C,B,A,A,A,A,A,B,B,A,A,A,A,,,,,,,,,B,B,A,B,B,B,A,B,B,B,A,B,B,A,B,B,B,B,B,B,B,A,B,B,D,C,C,A,D,D,C,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,A,A,A,A,B,A,A,A,B,A,B,A,,,,,,,,,A,B,B,B,B,B,B,A,B,B,B,D,D
20002,2019,2,24,6312150,2,61321439,2,1,1,A,20.0,0.0,2.0,10.0,2.0,10.0,60.0,60.0,40.0,12.0,4.0,2.0,0.0,2.0,2.0,4.0,3.0,3.0,2.0,6.0,C,B,C,C,B,C,C,B,C,C,B,B,,,,,A,,,B,B,A,A,A,C,D,D,D,C,C,C,B,B,B,B,A,,,,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,A,B,C,B,B,,,,,,,,,,A,4.0,2.0,2.0,2.0,2.0,1.0,C,C,C,B,A,3.0,B,,B,D,B,A,B,B,B,B,B,A,B,B,B,A,A,D,D,B,C,C,C,C,B,A,A,B,,,,,,,,A,,,,,,,,,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,A,B,B,B,C,C,C,D,D,D,D,B,B,B,B,B,B,B,A,A,B,B,A,B,B,B,B,B,B,A,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,B,,,,,,,,,,,,D
20003,2019,2,24,6312151,2,61270997,3,2,1,B,15.0,,4.0,0.0,0.0,10.0,40.0,30.0,40.0,6.0,2.0,2.0,4.0,3.0,4.0,6.0,3.0,3.0,2.0,5.0,D,D,D,C,D,D,C,D,D,D,D,D,A,A,A,,,A,A,A,D,C,C,A,B,C,C,C,C,C,D,C,B,A,A,A,,,,,,,,,,,A,A,A,A,A,A,A,A,B,B,A,A,B,A,A,A,B,B,A,B,A,B,A,A,A,B,B,B,B,A,A,A,B,B,B,A,A,A,C,B,B,B,A,A,A,B,B,B,B,A,A,4.0,6.0,,2.0,4.0,2.0,B,C,C,C,A,4.0,B,,A,,B,A,B,A,A,B,B,B,B,B,A,A,A,A,D,A,A,B,D,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,A,B,B,B,B,B,B,B,A,B,B,A,A,A,B,B,B,B,B,A,A,A,B,B,E,E,E,E,E,E,E,B,B,B,B,A,B,B,A,B,B,B,A,A,B,A,B,A,B,A,B,A,A,B,B,A,B,B,A,A,B,B,A,B,B,B,B,,,,,,,,,,,E,D
20004,2019,2,24,6312151,2,61280529,3,1,1,C,11.0,0.0,4.0,0.0,4.0,,40.0,40.0,40.0,4.0,,10.0,2.0,10.0,12.0,6.0,5.0,2.0,10.0,12.0,D,C,C,C,C,C,C,D,C,C,C,C,B,B,B,A,B,,,B,C,B,B,B,C,B,C,B,B,C,C,B,B,C,C,A,,,,,,,,,,,A,C,A,B,B,A,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,C,C,B,C,,,,,,,,,,A,6.0,8.0,3.0,5.0,6.0,2.0,D,D,C,B,A,3.0,B,,A,C,B,A,B,A,A,B,B,B,B,B,A,A,A,D,D,C,C,C,B,C,B,A,A,A,A,A,A,B,A,A,A,A,,,,,,,,,B,B,A,B,B,B,B,A,A,B,A,A,B,A,A,B,B,B,A,A,A,A,B,A,D,D,C,D,B,D,D,A,A,B,A,A,A,B,A,B,B,B,B,A,A,A,B,B,A,A,B,A,A,B,A,B,B,B,A,B,B,B,B,B,A,B,B,,,,,,,,,,,D,D
20005,2019,2,24,6312151,2,61298292,2,1,1,A,21.0,0.0,7.0,0.0,7.0,0.0,,,,8.0,8.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,D,C,C,C,D,C,C,C,C,C,C,C,B,B,B,B,A,,,B,A,A,B,C,C,B,B,B,C,C,C,C,B,C,C,A,,,,,,,,,,,A,B,A,C,C,B,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,B,C,C,C,C,,,,,,,,,,A,4.0,4.0,2.0,3.0,1.0,,D,D,,C,A,,B,,A,A,B,A,B,A,A,B,B,A,B,B,A,A,A,C,D,B,D,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,A,A,A,A,A,B,D,A,D,A,C,C,C,A,A,A,A,A,A,B,A,B,B,B,B,B,B,B,B,B,B,A,A,B,A,B,B,B,A,B,B,B,A,A,A,B,B,B,B,,,,,,,,,,,D,D
20006,2019,2,24,6312152,2,61255196,2,1,1,A,17.0,8.0,3.0,0.0,0.0,9.0,60.0,60.0,60.0,10.0,2.0,4.0,10.0,5.0,5.0,10.0,4.0,5.0,5.0,,C,C,C,C,C,C,C,C,C,B,C,C,B,B,B,A,A,,,B,B,C,B,B,B,B,C,B,C,B,C,B,B,C,C,A,,,,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,A,A,C,,,,,,,,,,A,5.0,6.0,6.0,6.0,6.0,,B,C,B,C,A,,A,3.0,B,A,B,B,B,A,B,B,B,A,B,B,B,A,A,,D,B,C,C,B,C,B,A,A,A,A,A,A,A,A,A,B,A,,,,,,,,,B,B,A,B,B,B,B,A,B,B,B,,,,A,,A,B,B,B,B,B,B,B,C,C,C,A,D,D,D,A,A,B,B,B,A,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,,,,,,,,,,,D,D
20007,2019,2,24,6312153,2,61289110,2,1,1,C,5.0,0.0,0.0,10.0,0.0,10.0,40.0,40.0,40.0,6.0,4.0,5.0,3.0,5.0,4.0,5.0,2.0,2.0,2.0,2.0,C,C,C,C,B,C,C,B,C,C,B,C,B,B,B,A,A,,,A,A,A,A,A,B,B,B,B,C,C,C,C,C,B,A,B,B,B,B,A,B,A,A,B,A,6.0,A,A,B,A,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,B,B,B,,,,,,,,,,A,9.0,2.0,1.0,1.0,2.0,1.0,D,C,B,B,A,,A,,A,C,B,B,B,A,B,B,B,A,B,A,A,A,A,B,D,A,C,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,B,B,A,B,B,B,B,A,B,B,A,B,B,B,A,B,A,B,A,A,B,B,B,B,D,D,D,C,D,D,D,A,A,B,B,A,A,B,A,B,A,B,B,A,B,A,A,B,B,A,B,B,A,B,B,B,A,B,A,B,B,A,A,B,A,A,B,,,,,,,,,,,D,D
20008,2019,2,24,6312154,2,61272478,2,1,1,B,13.0,9.0,5.0,10.0,5.0,10.0,,,42.0,,,4.0,,,,,,,,,C,C,C,B,C,C,C,D,D,C,C,C,,,,,A,,,C,B,B,C,C,B,C,C,C,C,C,C,C,B,C,C,A,,,,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,C,B,,,,,,,,,,A,12.0,2.0,2.0,2.0,2.0,,C,B,C,B,A,3.0,B,5.0,B,C,B,A,B,A,A,B,B,A,B,B,A,A,A,D,D,B,C,C,C,C,C,A,A,A,A,A,B,A,A,A,A,A,,,,,,,,,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,A,B,B,B,D,A,A,A,D,D,D,B,B,B,B,B,B,B,A,A,B,B,A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,B,B,A,A,A,A,B,A,B,B,,,,,,,,,,,D,D
20009,2019,2,24,6312155,2,61264244,2,1,1,C,3.0,,2.0,10.0,2.0,10.0,60.0,50.0,50.0,15.0,4.0,5.0,1.0,5.0,2.0,3.0,2.0,2.0,2.0,9.0,C,C,C,C,C,C,B,C,B,C,C,B,B,B,B,B,A,,,A,B,B,C,B,B,C,C,B,B,C,C,B,C,C,C,B,A,A,B,B,B,B,B,B,A,5.0,A,A,A,A,B,B,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,C,B,,,,,,,,,,A,3.0,1.0,1.0,1.0,1.0,1.0,C,C,C,C,A,4.0,B,5.0,B,C,B,A,B,A,A,B,B,A,B,B,B,A,A,A,C,A,D,C,B,D,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,B,B,A,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,A,B,A,A,A,A,B,B,C,B,D,B,C,D,D,A,B,B,B,B,B,B,A,A,B,B,A,B,B,B,B,B,B,B,B,A,B,B,A,B,B,A,,,,,,,,,A,B,B,B,B,B,A,B,B,B,B,D,E
20010,2019,2,24,6312155,2,61276768,3,2,1,A,12.0,,6.0,,,3.0,50.0,50.0,50.0,5.0,5.0,5.0,10.0,3.0,10.0,10.0,1.0,1.0,0.0,,C,C,C,C,D,C,C,D,C,C,C,C,B,B,A,A,B,,,B,C,B,B,B,B,B,B,C,B,C,C,B,B,B,B,B,A,B,A,A,B,B,B,B,A,20.0,A,C,A,B,B,B,A,A,,,,A,A,B,A,B,B,B,B,A,A,B,A,A,B,B,B,B,B,B,B,B,B,A,A,B,B,B,B,B,B,,,,,,,,,,B,,,,,,,,,,,,,A,,A,C,B,A,B,A,A,B,B,B,B,B,A,A,A,A,D,B,C,C,B,B,C,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,B,B,B,D,C,C,C,D,A,D,B,B,B,B,A,A,B,B,B,B,A,B,B,B,B,B,B,A,B,B,A,A,B,A,B,B,A,,,,,,,,,B,,,,,,,,,,,D,D
20011,2019,2,24,6312155,2,61295090,3,2,1,C,21.0,0.0,21.0,,10.0,9.0,40.0,40.0,40.0,4.0,4.0,1.0,1.0,1.0,2.0,8.0,3.0,2.0,2.0,12.0,C,C,C,B,C,D,C,C,C,C,C,C,B,A,A,B,B,A,B,C,C,C,C,C,C,C,C,C,C,C,D,B,C,C,A,A,,,,,,,,,,,A,A,A,A,A,A,A,A,,,A,B,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,C,C,C,B,B,B,A,B,B,A,B,B,A,5.0,6.0,,6.0,6.0,1.0,B,C,B,C,A,4.0,B,5.0,B,,B,A,B,A,A,B,B,B,B,B,B,A,A,D,D,C,C,C,A,C,C,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,B,B,B,B,A,B,B,B,B,A,A,B,A,B,A,B,A,B,A,A,A,A,B,B,D,D,D,D,D,D,D,A,B,B,B,A,B,B,B,B,B,B,A,B,B,A,B,B,A,A,B,A,A,A,A,B,A,B,B,B,B,B,B,B,B,A,B,,,,,,,,,,,B,B
20012,2019,2,24,6312155,2,61297542,3,2,1,B,10.0,3.0,6.0,11.0,4.0,0.0,60.0,60.0,40.0,2.0,2.0,2.0,4.0,5.0,3.0,4.0,2.0,1.0,0.0,5.0,C,C,C,C,C,C,C,C,C,C,D,D,B,B,A,B,B,,,A,C,B,B,B,B,C,C,C,C,C,D,D,C,C,B,B,B,B,B,B,B,B,B,B,A,11.0,A,A,A,A,A,A,A,A,,,,A,B,B,B,B,B,B,B,B,A,B,A,B,A,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,,,,,,,,,,A,4.0,6.0,,4.0,5.0,,D,D,C,C,A,2.0,B,3.0,B,,B,A,B,A,A,B,B,B,B,B,A,A,A,D,D,C,C,B,B,A,C,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,B,B,B,B,B,B,B,A,B,B,A,B,A,B,B,B,A,B,A,A,A,B,B,B,E,D,D,D,D,D,D,A,A,B,B,B,B,B,A,A,A,A,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,A,B,B,B,B,,,,,,,,,,,D,E
20013,2019,2,24,6312156,2,61255192,1,2,1,C,21.0,8.0,3.0,6.0,3.0,6.0,40.0,40.0,40.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,1.0,10.0,3.0,10.0,C,C,D,D,C,C,C,C,C,B,C,C,,,,,A,,,A,C,B,A,B,A,C,C,B,C,C,C,B,C,B,C,A,,,,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,C,D,,,,,,,,,,B,,,,,,,,,,,,3.0,B,,A,A,B,B,B,B,A,B,B,A,B,B,B,A,A,B,C,A,C,C,C,C,B,A,B,A,A,A,B,A,A,B,A,B,B,B,A,B,B,B,B,B,A,B,B,B,B,B,B,B,A,B,B,B,B,B,A,B,B,B,B,B,A,B,B,B,D,D,A,D,D,C,C,A,A,A,A,B,B,B,A,B,B,B,A,B,A,B,A,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,A,A,B,B,B,,,,,,,,,,,E,E
20014,2019,2,24,6312156,2,61280770,2,2,1,A,,,,,,,,,,,,,,,,,,,,,C,C,C,C,B,C,C,C,C,C,C,C,B,B,B,A,A,,,A,B,B,B,A,B,D,C,C,B,C,C,A,A,C,A,B,B,B,B,B,B,B,A,A,B,5.0,A,A,B,A,B,B,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,B,B,C,B,,,,,,,,,,A,6.0,2.0,2.0,2.0,2.0,2.0,C,B,B,B,A,2.0,B,,A,C,B,A,B,A,B,,B,B,B,B,B,A,A,D,D,C,C,B,A,B,A,A,A,A,B,A,A,B,A,B,B,A,,,,,,,,,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,A,A,A,B,B,D,C,C,D,D,D,D,A,A,B,A,A,A,B,B,B,B,B,B,B,B,B,A,B,A,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,,,,,,,,,,,D,D
20015,2019,2,24,6312156,2,61292882,2,1,1,C,13.0,6.0,2.0,9.0,3.0,9.0,50.0,50.0,50.0,5.0,5.0,3.0,10.0,10.0,3.0,3.0,5.0,1.0,1.0,4.0,C,C,C,C,D,D,C,C,C,C,C,C,B,B,B,B,A,,,A,B,C,B,B,C,B,B,B,B,D,C,C,B,B,B,B,A,B,B,B,B,A,A,A,B,20.0,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,B,B,B,B,,,,,,,,,,A,10.0,2.0,2.0,2.0,2.0,,C,C,C,B,A,,A,,A,B,B,A,B,A,B,B,B,A,B,,A,A,D,D,C,C,C,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,A,B,B,B,B,B,B,B,A,B,A,B,B,B,B,B,A,A,A,A,A,A,A,A,D,C,C,D,D,D,E,A,A,B,A,A,A,B,A,A,A,A,A,A,B,B,B,B,A,A,B,A,A,A,A,B,A,A,,,,,,,,,A,A,A,A,A,B,B,B,B,B,B,D,D
20016,2019,2,24,6312156,2,61307034,2,2,1,A,4.0,0.0,2.0,9.0,2.0,9.0,40.0,30.0,40.0,5.0,7.0,2.0,2.0,8.0,5.0,3.0,2.0,2.0,1.0,3.0,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,A,A,,,B,B,C,B,B,C,C,C,C,B,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B,A,4.0,A,A,A,A,B,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,B,C,B,C,,,,,,,,,,A,6.0,2.0,2.0,2.0,2.0,2.0,D,D,D,D,A,,A,,A,D,B,A,B,A,B,B,B,B,B,B,A,A,A,D,D,B,C,C,B,B,B,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,B,B,B,B,A,B,B,B,B,B,B,B,B,A,B,B,B,B,A,A,A,A,B,B,D,D,D,C,C,D,D,A,A,A,A,A,A,B,A,B,B,A,A,B,A,B,A,B,A,A,A,A,A,A,A,A,A,A,,,,,,,,,B,,,,,,,,,,,C,B
20017,2019,2,24,6312158,2,61275923,2,1,1,C,8.0,6.0,6.0,1.0,6.0,1.0,40.0,40.0,40.0,6.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,2.0,1.0,16.0,C,C,C,,B,B,B,C,B,B,C,C,B,B,B,B,A,,,B,B,B,C,C,C,C,C,B,C,C,C,B,B,C,B,,,,,,,,,,,,A,A,A,A,A,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,B,B,C,A,,,,,,,,,,A,5.0,1.0,1.0,1.0,1.0,4.0,B,B,B,B,A,2.0,B,,A,C,B,B,B,A,A,B,B,A,B,B,B,A,A,B,D,D,D,D,D,D,B,A,A,A,A,A,B,A,A,A,A,A,,,,,,,,,B,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,A,B,B,A,A,A,B,B,A,C,D,A,D,D,C,B,A,B,B,A,A,B,B,B,A,A,B,A,B,B,B,B,B,A,B,B,B,B,B,A,B,B,B,A,B,B,B,B,A,A,B,,,,,,,,,,,E,E
